COUNTRY,VENDOR,COMPANY NAME,ADDRESS,APPAREL,ACCESSORIES,SHOES,PRODUCTION PHASE,EMPLOYEES RANGE,% MEN,% WOMEN,% MIGRANT WORKERS,TRADE UNION,NAME OF THE TRADE UNION,COLLECTIVE BARGAINING AGREEMENT,% WORKFORCE COVERED BY THE CBA,WORKERS' REPRESENTATIVES,CERTIFICATIONS
TURKEY,Global Sourcing Dis Tic A.S,4P Empirme San. Ve Tic.Ltd.Sti.,"Mimar Sinan Cd No:9, Baglar Mahallesi, Bagcilar; Istanbul; 34209 (Istanbul)",l,n/a,n/a,PRINTING,1-500,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
INDIA,C.R.Garments,A To Z Cotton Centre,"Miller Bus Stop, 414, Pn Rd, Vengamedu, Poyampalayam; Tirupur; 641602 (Tamil Nadu)",l,n/a,n/a,WEAVING,1-500,70,30,n/a,n/a,n/a,n/a,n/a,n/a,n/a
INDIA,Shahi Exports Pvt Ltd.,Aarti International Limited,"Vill. Bhama Kalan & Harhian , P . O . Uppal , Kohara Machiwara  Road; Ludhiana; 141113 (Punjab)",l,n/a,n/a,WET PROCESS; WEAVING,501-1500,97,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a
TURKEY,Aba Tekstil Orme San Ve Tic As,Aba Tekstil Orme San Ve Tic A.S.,Merkez Mah. Prof Dr Nevzat Pisak Cad. No19 Yenibosna Bahcelievler; Instanbul; 34180 (Istanbul),l,n/a,n/a,SPINNING; WEAVING,1-500,50,50,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CHINA,Demka Tekstil San Ve Tic As,"Ac International Co., Ltd","Room 1330, Yuemin Building, 114 Xingang West Road, Haizhu District; Guangzhou; 510000 (Guangdong)",l,n/a,n/a,WEAVING,1-500,100,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a
TURKEY,Miroglio Textile S.R.L,Acar Ihracat Ithalat Tekstil Tic. Ve San A.S,"Demirtas Osb Cigdem 1. Sok. No: 23, Osmangazi; Bursa; 16000 (Bursa)",l,n/a,n/a,WEAVING,1-500,10,90,n/a,n/a,n/a,n/a,n/a,n/a,n/a
INDIA,Cta Apparels Pvt Ltd,Cta Apparels Unit-Sect. 63,No.23 Harbin Road Dda; Noida; 201309 (Uttar Pradesh),l,n/a,n/a,MANUFACTURING; OTHER PROCESSING,1-500,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ITALY,New Marco'S S.R.L.,New Marco'S S.R.L.,"Via Xxv Aprile, 4; Villorba; 31020 (Treviso)",l,n/a,n/a,MANUFACTURING; OTHER PROCESSING,1-500,15,85,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ITALY,Okiello S.R.L.,Okiello S.R.L.,"Via Mantegna, 24; Tombolo; 35019 (Padova)",l,n/a,n/a,WEAVING; MANUFACTURING,1-500,28,72,n/a,n/a,n/a,n/a,n/a,n/a,n/a
INDIA,Shahi Exports Pvt Ltd,Shahi Exports Pvt Ltd,"37/1B,43/2, 43/3 Arekere, Bannerghatta Main Road; Bangalore; 560076 (Karnataka)",l,n/a,n/a,MANUFACTURING; PRINTING; OTHER PROCESSING,>5000,34,66,n/a,n/a,n/a,n/a,n/a,l,n/a
TURKEY,Aktek Giyim San Ve Tic A.S.,Akin Tekstil A.S,Arapcatagi Mevki Evrensekiz Koyu Luleburgaz; Kirklareli; 39750 (Kirklareli),l,n/a,n/a,WET PROCESS,501-1500,66,34,0,l,TURK-IS,l,100,n/a,EUROPEAN FLAX; ISO 14001; ISO 27001; OEKO-TEX 
INDIA,Shahi Exports Pvt Ltd,Shahi Exports Pvt Ltd,"No 226/227, 8Th Main, 3Rd Phase, K.I.A.D.B. Peenya Industrial Area; Bangalore; 560058 (Karnataka)",l,n/a,n/a,MANUFACTURING; OTHER PROCESSING,1501-3000,24,76,n/a,n/a,n/a,n/a,n/a,l,GOTS; GRS     
