COMPANY NAME,VENDOR,COUNTRY,COUNTY,ZIP,CITY,STREET,APPAREL,ACCESSORIES,SHOES,MANUFACTURING,OTHER_PROCESSING,PRINTING,SPINNING,WEAVING,WET_PROCESS,% MEN,% WOMEN,% MIGRANT WORKERS,TRADE UNION,NAME OF THE TRADE UNION,COLLECTIVE BARGAINING AGREEMENT,% WORKFORCE COVERED BY THE CBA,WORKERS' REPRESENTATIVES,CERTIFICATIONS,MIN_EMPLOYEES,MAX_EMPLOYEES
4P Empirme San. Ve Tic.Ltd.Sti.,Global Sourcing Dis Tic A.S,TURKEY,Istanbul, 34209 , Istanbul,"Mimar Sinan Cd No:9, Baglar Mahallesi, Bagcilar",True,False,False,False,False,True,False,False,False,,,,False,,,,,,1,500
A To Z Cotton Centre,C.R.Garments,INDIA,Tamil Nadu, 641602 , Tirupur,"Miller Bus Stop, 414, Pn Rd, Vengamedu, Poyampalayam",True,False,False,False,False,False,False,True,False,70.0,30.0,,False,,,,,,1,500
Aarti International Limited,Shahi Exports Pvt Ltd.,INDIA,Punjab, 141113 , Ludhiana,"Vill. Bhama Kalan & Harhian , P . O . Uppal , Kohara Machiwara  Road",True,False,False,False,False,False,False,True,True,97.0,3.0,,False,,,,,,501,1500
Aba Tekstil Orme San Ve Tic A.S.,Aba Tekstil Orme San Ve Tic As,TURKEY,Istanbul, 34180 , Instanbul,Merkez Mah. Prof Dr Nevzat Pisak Cad. No19 Yenibosna Bahcelievler,True,False,False,False,False,False,True,True,False,50.0,50.0,,False,,,,,,1,500
"Ac International Co., Ltd",Demka Tekstil San Ve Tic As,CHINA,Guangdong, 510000 , Guangzhou,"Room 1330, Yuemin Building, 114 Xingang West Road, Haizhu District",True,False,False,False,False,False,False,True,False,100.0,0.0,,False,,,,,,1,500
Acar Ihracat Ithalat Tekstil Tic. Ve San A.S,Miroglio Textile S.R.L,TURKEY,Bursa, 16000 , Bursa,"Demirtas Osb Cigdem 1. Sok. No: 23, Osmangazi",True,False,False,False,False,False,False,True,False,10.0,90.0,,False,,,,,,1,500
Cta Apparels Unit-Sect. 63,Cta Apparels Pvt Ltd,INDIA,Uttar Pradesh, 201309 , Noida,No.23 Harbin Road Dda,True,False,False,True,True,False,False,False,False,,,,False,,,,,,1,500
New Marco'S S.R.L.,New Marco'S S.R.L.,ITALY,Treviso, 31020 , Villorba,"Via Xxv Aprile, 4",True,False,False,True,True,False,False,False,False,15.0,85.0,,False,,,,,,1,500
Okiello S.R.L.,Okiello S.R.L.,ITALY,Padova, 35019 , Tombolo,"Via Mantegna, 24",True,False,False,True,False,False,False,True,False,28.0,72.0,,False,,,,,,1,500
Shahi Exports Pvt Ltd,Shahi Exports Pvt Ltd,INDIA,Karnataka, 560076 , Bangalore,"37/1B,43/2, 43/3 Arekere, Bannerghatta Main Road",True,False,False,True,True,True,False,False,False,34.0,66.0,,False,,,,l,,5000,
Akin Tekstil A.S,Aktek Giyim San Ve Tic A.S.,TURKEY,Kirklareli, 39750 , Kirklareli,Arapcatagi Mevki Evrensekiz Koyu Luleburgaz,True,False,False,False,False,False,False,False,True,66.0,34.0,0.0,True,TURK-IS,l,100.0,,EUROPEAN FLAX; ISO 14001; ISO 27001; OEKO-TEX ,501,1500
